Index,ID,SSP_NUM,FID,SentrixBarcode_A,SentrixPosition_A,Sample_Plate,Sample_Well,Sample_Group,Gender,Gender2,Replicate,Parent1,Parent2,Parent1,Parent2,Phenotype,N_MISS_Loci,N_GENO,F_MISS,Call_Rate,SIRE,DAM,SEX,BIRTHDATE,DEATHDATE,AGE_DAYS,N_OFFSPRING,N_OFFSPRING_1YR,PERCENT_OFF_1YR,F_PEDIGRAPH,Founder-5,Founder-11,Founder-209,Founder-210,Founder-293,Founder-294,Founder-WILD1,MB,AR,GR,F-Genes,Kinship
83,5511344027_R06C01,536,0,5511344027,R06C01,WG0041091-MSA3,B06,WOLF,M,1,0,0,0,0,0,0.875,924,172114,0.005369,0.994631,86,281,M,4/14/97,4/1/04,2544,24,21,0.875,0,0.25,0.125,0.3438,0.1563,0,0,0.125,0.5,0.5001,0,0,0.1218
84,5511344027_R06C02,29,MB,5511344027,R06C02,WG0041091-MSA3,H06,WOLF,F,2,5511344025_R06C01,0,0,0,0,-9,964,172104,0.005601,0.994399,8,15,F,4/27/83,10/29/97,5299,11,4,0.363636364,0.125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.125,0.1225
85,5511344029_R01C01,1116,WILD,5511344029,R01C01,WG0041091-MSA3,A01,WOLF,M,1,0,5500696005_R03C01,0,795,0,-9,2915,172114,0.01694,0.98306,795,758,M,4/15/08,6/8/08,54,0,0,0,0.202148,0.4375,0.2266,0,0,0.0313,0.0938,0.211,0.8751,0,0.1251,0.2022,0.1708
86,5511344029_R01C02,1064,0,5511344029,R01C02,WG0041091-MSA3,G01,WOLF,F,2,0,0,0,0,0,-9,16131,172104,0.09373,0.90627,660,749,F,4/22/07,0,2114,10,10,1,0.078125,0.25,0.125,0.1563,0.0938,0.0625,0.1875,0.125,0.5,0.2501,0.25,0.0781,0.1422
87,5511344029_R02C01,1117,WILD,5511344029,R02C01,WG0041091-MSA3,B01,WOLF,F,2,0,5500696005_R03C01,0,795,0,-9,4897,172104,0.02845,0.97155,795,758,F,4/15/08,6/8/08,54,0,0,0,0.202148,0.4375,0.2266,0,0,0.0313,0.0938,0.211,0.8751,0,0.1251,0.2022,0.1708
88,5511344029_R02C02,Hershey,DOG,5511344029,R02C02,WG0041091-MSA3,H01,WOLF,M,1,0,0,0,0,0,-9,1060,172114,0.006159,0.993841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,5511344029_R03C01,1031,0,5511344029,R03C01,WG0041091-MSA3,C01,WOLF,F,2,0,5500696014_R04C02,0,730,0,-9,1225,172104,0.007118,0.992882,730,638,F,4/15/06,0,2486,0,0,0,0.141113,0.3438,0.1876,0.0782,0.0469,0.0469,0.1407,0.1563,0.6877,0.1251,0.1876,0.1411,0.1566
90,5511344029_R03C02,169,MB,5511344029,R03C02,WG0041091-MSA3,A02,WOLF,F,2,0,5511344025_R03C02,5511344025_R01C01,60,37,-9,9518,172104,0.0553,0.9447,60,37,F,4/27/94,11/15/01,2759,15,7,0.466666667,0.1875,0.5,0.25,0,0,0,0,0.25,1,0,0,0.1875,0.1668
91,5511344029_R04C01,1032,0,5511344029,R04C01,WG0041091-MSA3,D01,WOLF,F,2,0,5500696014_R04C02,0,730,0,-9,1353,172104,0.007862,0.992138,730,638,F,4/15/06,0,2486,0,0,0,0.141113,0.3438,0.1876,0.0782,0.0469,0.0469,0.1407,0.1563,0.6877,0.1251,0.1876,0.1411,0.1566
92,5511344029_R04C02,258,AR,5511344029,R04C02,WG0041091-MSA3,B02,WOLF,M,1,0,0,0,0,0,0.541666667,1652,172114,0.009598,0.990402,231,290,M,4/11/88,12/3/01,4984,24,13,0.541666667,0.25,0,0,0.625,0.375,0,0,0,0,1,0,0.25,0.0666
93,5511344029_R05C01,1033,0,5511344029,R05C01,WG0041091-MSA3,E01,WOLF,F,2,0,5500696014_R04C02,0,730,0,-9,17462,172104,0.1015,0.8985,730,638,F,4/15/06,0,2486,0,0,0,0.141113,0.3438,0.1876,0.0782,0.0469,0.0469,0.1407,0.1563,0.6877,0.1251,0.1876,0.1411,0.1566
94,5511344029_R05C02,432,GR,5511344029,R05C02,WG0041091-MSA3,C02,WOLF,F,2,0,0,0,0,0,-9,1187,172104,0.006897,0.993103,403,405,F,5/1/91,1/3/01,3535,0,0,0,0.609375,0,0,0,0,0.25,0.75,0,0,0,1,0.6094,0.127
95,5511344029_R06C01,1034,0,5511344029,R06C01,WG0041091-MSA3,F01,WOLF,F,2,0,5500696014_R04C02,0,730,0,-9,1373,172104,0.007978,0.992022,730,638,F,4/15/06,0,2486,0,0,0,0.141113,0.3438,0.1876,0.0782,0.0469,0.0469,0.1407,0.1563,0.6877,0.1251,0.1876,0.1411,0.1566
96,5511344029_R06C02,484,MB,5511344029,R06C02,WG0041091-MSA3,D02,WOLF,M,1,0,5500696014_R06C02,0,66,0,-9,16797,172114,0.09759,0.90241,66,98,M,5/7/96,2/11/00,1375,5,4,0.8,0.25,0.5,0.25,0,0,0,0,0.25,1,0,0,0.25,0.1739
